koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_model_snr
FALSE POSITIVE,1.956811408,1.091,2.1958,2.49E+04,21.58,125.4
CANDIDATE,2.688899233,0.001,2.11275,3.75E+04,12.04,1011.6
CONFIRMED,9.439459486,0.049,2.8979,3.04E+03,4.16,175.2
CONFIRMED,11.52306746,0,3.8757,5.07E+02,3.13,142
CONFIRMED,20.47748843,0.497,2.8364,1.38E+03,2.92,52.7
CONFIRMED,3.336123113,0.252,1.9616,5.16E+02,1.74,41.6
CONFIRMED,8.01078456,0.192,2.312,1.33E+03,1.72,48.5
CONFIRMED,12.07134205,0.014,4.3224,7.59E+02,1.29,31
CONFIRMED,20.99587872,0.228,2.6333,7.67E+02,1.3,18.2
CONFIRMED,7.41113177,0.712,2.5242,6.21E+02,2.45,50.4
FALSE POSITIVE,1.000747038,0.908,0.9967,1.82E+03,4.14,147.4
CONFIRMED,8.884922995,0.069,2.07004,1.61E+04,10.51,388.2
CONFIRMED,8.09888906,0.018,4.20241,6.91E+03,8.95,435.9
CONFIRMED,10.00653012,0.862,5.344,9.36E+02,3.52,71.9
CONFIRMED,17.85522168,0.075,7.41287,9.07E+03,13.16,915.7
CANDIDATE,12.73262407,0.811,2.2083,6.47E+03,4.87,210.5
CANDIDATE,83.92494032,0.658,6.7904,7.96E+03,4.78,182.1
CONFIRMED,5.007316661,0.344,4.2362,6.93E+03,6.96,431.4
CONFIRMED,2.211116989,0.69,1.6485,7.24E+02,1.85,42.6
CONFIRMED,27.9541337,0.063,3.95,9.43E+02,1.9,25.4
CONFIRMED,12.69104387,0.008,3.7727,2.52E+02,2.57,60.2
FALSE POSITIVE,4.409409243,0.028,3.8636,1.29E+04,10.95,85.8
CONFIRMED,16.23947096,0.043,4.0374,2.59E+03,4.14,123.8
CONFIRMED,6.308201629,0.03,2.9785,1.33E+03,2.96,86.2
CONFIRMED,2.052349884,0.437,2.0778,1.43E+04,13.12,1072.1
CONFIRMED,9.7704486,0.09,2.4517,1.90E+03,2.23,58
CONFIRMED,5.169804269,0.351,2.153,1.04E+03,1.66,41.4
CONFIRMED,21.22261195,0.02,6.5093,3.66E+02,2.48,114.9
CONFIRMED,20.09017037,0.886,4.154,1.43E+03,2.25,36.9
CONFIRMED,7.11373257,0.334,2.1764,8.08E+02,1.16,44.4
CONFIRMED,3.306551643,0.001,1.8177,5.09E+02,0.91,37.8
CONFIRMED,15.36845737,0.115,2.4714,7.56E+02,1.11,30.9
CANDIDATE,13.81020318,0.791,3.048,1.31E+03,4.56,46.2
CONFIRMED,4.093578461,0.93,2.5833,5.39E+02,2.85,36.4
CONFIRMED,105.145959,0.964,8.593,6.85E+02,3.43,15.4
CONFIRMED,10.8484518,0.21,2.9993,1.68E+03,2.34,64.5
CONFIRMED,6.66833241,0.644,1.915,3.62E+02,1.18,14.2
CONFIRMED,4.082274889,0.093,3.23015,1.79E+04,10.55,1669.1
CANDIDATE,3.886655224,0.649,3.1646,5.82E+02,1.87,48.1
CONFIRMED,42.1406089,0.045,5.083,8.96E+02,1.85,21.6
CONFIRMED,4.617490562,0.649,2.2618,5.76E+02,1.62,28.1
CONFIRMED,10.19849255,0.714,2.4283,6.34E+02,1.75,21.4
FALSE POSITIVE,5.795063956,0.949,3.2496,1.69E+03,4.33,119.4
CONFIRMED,7.15681552,0.45,2.5882,8.67E+02,2.47,47.7
CONFIRMED,17.64830851,0.653,2.0873,7.63E+02,2.43,23.8
CONFIRMED,4.14810719,0.093,2.535,1.75E+02,1.08,12.9
CONFIRMED,16.51410989,0.395,4.1575,9.74E+02,2.72,55.9
CONFIRMED,30.1329298,0.839,5.172,1.02E+03,3.14,44.8
CONFIRMED,4.79090809,0.11,2.603,2.51E+02,1.36,21.2
CONFIRMED,31.71981013,0.125,4.819,3.63E+02,3.09,63.1
CONFIRMED,99.6415962,0.028,4.448,9.53E+02,2.64,22.7
CONFIRMED,4.708326451,0.061,3.16114,7.91E+03,10.6,633.4
FALSE POSITIVE,16.37198661,9.303,3.8449,4.15E+03,540.37,54.5
CONFIRMED,5.392026903,0.314,2.9804,1.15E+03,2.68,77.4
CANDIDATE,2.494170338,0.095,1.1221,8.64E+02,2.42,69.2
CONFIRMED,6.491682808,0.535,4.301,7.16E+03,9.66,502.3
FALSE POSITIVE,3.044770796,1.252,10.0134,1.70E+03,24.54,203.5
CONFIRMED,3.855603916,0.348,3.2179,1.67E+04,13.61,1173.9
FALSE POSITIVE,3.855599139,0.864,3.183,1.03E+03,3.57,90.1
CONFIRMED,38.47876629,0.003,5.04169,2.35E+04,13.26,1077.8
FALSE POSITIVE,37.60166128,0.408,8.30604,5.91E+04,27.22,1667.3
CONFIRMED,3.314947362,0.799,1.8007,1.40E+03,3.94,123.5
FALSE POSITIVE,6.71969089,0.985,3.0231,9.70E+02,4.37,45.4
CONFIRMED,39.6431552,0.062,6.5292,1.57E+04,10.98,690.3
FALSE POSITIVE,51.42598578,0.203,16.9422,6.61E+04,29.66,1843.8
CONFIRMED,21.80451611,0.751,3.4097,1.14E+03,2.6,49.9
CONFIRMED,10.28194593,0.168,3.4366,1.11E+03,2.53,55
CONFIRMED,18.11993039,0.206,4.2309,1.51E+03,2.95,60.7
CONFIRMED,3.78402867,0.691,1.9012,4.26E+02,1.7,25.6
CONFIRMED,5.15448142,0.933,3.228,6.98E+02,2.94,48.1
FALSE POSITIVE,33.80364366,0.023,11.4813,1.35E+04,20.7,529.9
CONFIRMED,5.743469797,0.001,3.4412,1.24E+03,3.13,79.7
CANDIDATE,39.4759093,0.938,2.968,1.01E+03,4.06,26.6
FALSE POSITIVE,19.97448524,0.886,4.23479,4.03E+04,26.56,1398.8
CONFIRMED,3.166353562,0.032,3.3129,1.47E+03,3.82,128.3
FALSE POSITIVE,23.89963441,1.245,3.81881,2.10E+04,44.04,547.8
CONFIRMED,3.388012244,0.433,2.6849,2.80E+02,2.11,30.6
CONFIRMED,5.83909761,0.341,3.1915,2.74E+02,2.06,25.2
CONFIRMED,1.620467654,0.271,2.1888,1.60E+02,1.57,22.7
CONFIRMED,10.6816951,0.646,3.605,3.08E+02,2.3,21.9
CONFIRMED,6.104849417,0.041,4.6912,2.09E+03,3.18,293.7
CONFIRMED,3.578780566,0.079,2.91089,1.14E+04,10.43,1838.4
FALSE POSITIVE,3.187067566,1.234,3.119,1.04E+03,23.88,37.2
CONFIRMED,5.826657508,0.033,2.9183,1.54E+03,4.09,81.1
CONFIRMED,12.41216347,0.021,3.739,6.11E+02,2.58,25.6
CONFIRMED,18.74649011,0.508,3.895,7.97E+02,3.05,26.7
CONFIRMED,20.86021229,0.066,5.1937,1.91E+03,5.5,117
CONFIRMED,42.63427848,0.142,6.1998,1.72E+03,5.22,78.7
CONFIRMED,87.6476068,0.147,8.871,1.01E+03,4,37.5
CANDIDATE,9.61731426,0.331,3.8692,2.34E+02,1.94,18.2
CONFIRMED,9.467821474,0.081,2.4327,2.24E+03,2.13,124.7
CONFIRMED,0.893040969,0.009,1.0981,7.42E+02,1.24,87.8
CONFIRMED,4.942783419,0.566,3.25346,1.11E+04,10.62,2040.7
CONFIRMED,20.83426731,0.256,4.0454,9.88E+02,2.74,45.1
CONFIRMED,9.94602357,0.035,3.3862,9.95E+02,3.12,51
CONFIRMED,1.04562195,0.037,1.8955,2.13E+02,1.45,25.3
CONFIRMED,5.71462396,0.503,2.336,2.98E+02,1.78,16.7
FALSE POSITIVE,102.9641952,0.922,15.735,1.90E+03,39,86.1
CONFIRMED,8.14515981,0.965,5.073,4.47E+02,3.43,32.2
CONFIRMED,18.9985279,1.3,4.529,4.31E+02,43.17,16.9
CONFIRMED,4.24439049,0.949,3.282,1.74E+02,2.07,15.1
CANDIDATE,90.1240507,0.698,11.649,3.02E+03,7.12,57.9
CONFIRMED,28.5742692,0.068,4.9427,8.25E+02,2.32,97.1
CANDIDATE,856.672115,0.1158,23.144,8.58E+02,3.87,39.2
CANDIDATE,0.689210173,0.154,1.6169,1.95E+02,1.32,93.4
CANDIDATE,7.34373964,0.185,1.1784,5.74E+02,1.84,32.2
FALSE POSITIVE,0.445277068,1.2962,3.539,1.87E+02,35.74,28.9
FALSE POSITIVE,0.379463865,1.246,0.86896,1.97E+03,59.56,458.6
FALSE POSITIVE,9.88047978,1.02,2.78458,1.85E+04,23.6,534.5
FALSE POSITIVE,4.6484156,0.968,38.1939,1.28E+02,5.06,91.7
FALSE POSITIVE,17.51201477,0.994,1.8248,4.51E+03,13.66,322.3
CANDIDATE,3.9886021,0.06,1.7376,6.74E+02,34.39,37.1
CANDIDATE,0.533059312,1.263,1.8621,1.50E+03,133.56,179.6
FALSE POSITIVE,0.525154153,1.226,2.1441,7.48E+02,23.61,116.1
FALSE POSITIVE,1.303861044,1.258,4.0541,5.98E+02,27.85,140.6
FALSE POSITIVE,0.73452496,,6.7,,,
FALSE POSITIVE,2.55549176,1.228,9.083,1.14E+02,23.35,24.3
FALSE POSITIVE,2.947376671,2.641,2.0911,4.33E+02,403.59,62.3
CONFIRMED,224.7789355,0.652,11.1899,3.49E+03,7.67,235.7
FALSE POSITIVE,0.890110752,0.216,0.8774,3.22E+02,1.25,19.6
FALSE POSITIVE,5.76573396,0.708,2.924,2.48E+02,7.47,22.2
CONFIRMED,7.42608123,0.097,3.6379,4.43E+02,2.47,37.5
CONFIRMED,15.9868932,0.533,4.158,1.79E+02,1.62,10.9
FALSE POSITIVE,0.73094589,1.169,4.32,2.50E+02,17.12,37.5
CONFIRMED,18.92537246,0.806,3.9835,6.41E+02,13.92,41
FALSE POSITIVE,0.933749106,0.736,4.256,1.86E+02,3.22,136.3
FALSE POSITIVE,2.037440623,0.715,3.442,1.19E+02,1.19,27
CANDIDATE,129995.7784,0.7127,9.408,1.47E+03,2.99,35.7
CONFIRMED,31.5925809,0.283,13.566,1.45E+02,1.78,25.5
CANDIDATE,17.157236,0.238,11.284,1.10E+02,1.55,23.6
CONFIRMED,1.97376085,0.337,1.82542,3.02E+04,8.78,1252.5
CANDIDATE,13.11896244,0.042,4.3045,3.72E+02,8.25,267.4
FALSE POSITIVE,4.618767792,0.766,5.9957,4.40E+03,7.48,270.1
CANDIDATE,7.82187328,0.005,3.8417,4.22E+01,2.78,37.2
CANDIDATE,53.5057611,0.46,10.5616,1.96E+02,2.52,71.2
CONFIRMED,2.785821236,0.893,3.5599,6.89E+01,1.69,53.6
FALSE POSITIVE,52.56901867,1.197,6.7507,2.69E+04,78.54,184.3
FALSE POSITIVE,3.411758679,1.213,3.158,5.71E+02,14.71,35.6
FALSE POSITIVE,0.525426427,0.113,1.0801,3.25E+02,1.45,63.6
CONFIRMED,1.269091415,0.412,1.4647,3.41E+02,1.41,73.5
CONFIRMED,2.853133997,0.698,1.465,2.77E+02,1.36,39.7
CANDIDATE,6.79685353,0.62,3.1702,3.93E+02,2.01,29.8
FALSE POSITIVE,8.667822346,1.276,4.9658,2.12E+03,67.37,187.6
CONFIRMED,1.475323222,0.136,2.3155,1.55E+02,5.88,27.2
CONFIRMED,4.15246118,0.639,2.5755,2.23E+02,7.62,24.5
FALSE POSITIVE,6.7210783,,7.46,,,
